  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.050     Re =     0.263 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.0305   0.01383   0.00670  -0.1087   0.9030   0.0946
  -3.500   0.0882   0.01292   0.00578  -0.1087   0.8887   0.1149
  -3.000   0.1446   0.01220   0.00510  -0.1083   0.8722   0.1438
  -2.500   0.2000   0.01156   0.00457  -0.1078   0.8538   0.1845
  -2.000   0.2555   0.01103   0.00414  -0.1074   0.8340   0.2403
  -1.500   0.3100   0.01053   0.00383  -0.1068   0.8124   0.3155
  -1.000   0.3617   0.00982   0.00362  -0.1059   0.7879   0.4693
  -0.500   0.4024   0.00875   0.00368  -0.1015   0.7641   0.8456
   0.000   0.4892   0.00867   0.00347  -0.1072   0.7374   1.0000
   0.500   0.5401   0.00886   0.00340  -0.1059   0.7102   1.0000
   1.000   0.5918   0.00912   0.00338  -0.1049   0.6847   1.0000
   1.500   0.6434   0.00939   0.00348  -0.1039   0.6588   1.0000
   2.000   0.6960   0.00974   0.00360  -0.1031   0.6363   1.0000
   2.500   0.7482   0.01007   0.00381  -0.1023   0.6141   1.0000
   3.000   0.8008   0.01043   0.00407  -0.1016   0.5942   1.0000
   3.500   0.8536   0.01083   0.00436  -0.1009   0.5757   1.0000
   4.000   0.9062   0.01124   0.00470  -0.1003   0.5581   1.0000
   4.500   0.9587   0.01167   0.00508  -0.0996   0.5408   1.0000
   5.000   1.0106   0.01212   0.00549  -0.0989   0.5235   1.0000
   5.500   1.0615   0.01256   0.00594  -0.0979   0.5049   1.0000
   6.000   1.1103   0.01295   0.00639  -0.0966   0.4830   1.0000
   6.500   1.1578   0.01340   0.00680  -0.0950   0.4592   1.0000
   7.000   1.2039   0.01383   0.00732  -0.0932   0.4339   1.0000
   7.500   1.2483   0.01435   0.00786  -0.0912   0.4066   1.0000
   8.000   1.2899   0.01493   0.00848  -0.0887   0.3731   1.0000
   8.500   1.3260   0.01578   0.00925  -0.0854   0.3303   1.0000
   9.000   1.3541   0.01706   0.01035  -0.0810   0.2741   1.0000
   9.500   1.3680   0.01895   0.01193  -0.0745   0.2087   1.0000
  10.000   1.3748   0.02160   0.01421  -0.0679   0.1434   1.0000
  10.500   1.3789   0.02469   0.01705  -0.0618   0.1014   1.0000
  11.000   1.3853   0.02793   0.02025  -0.0567   0.0798   1.0000
  11.500   1.3897   0.03162   0.02397  -0.0523   0.0676   1.0000
  12.000   1.3954   0.03554   0.02802  -0.0489   0.0593   1.0000
  12.500   1.3966   0.04017   0.03277  -0.0459   0.0535   1.0000
  13.000   1.3979   0.04506   0.03776  -0.0436   0.0489   1.0000
  13.500   1.4005   0.05002   0.04291  -0.0416   0.0452   1.0000
  14.000   1.4040   0.05513   0.04812  -0.0404   0.0419   1.0000
  14.500   1.4069   0.06027   0.05339  -0.0387   0.0394   1.0000
  15.000   1.4129   0.06540   0.05872  -0.0379   0.0369   1.0000
  15.500   1.4193   0.07028   0.06363  -0.0367   0.0347   1.0000
  16.000   1.4235   0.07581   0.06944  -0.0361   0.0329   1.0000
