  
       XFOIL         Version 6.99
  
 Calculated polar for: Epler 205                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.050     Re =     0.263 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.1396   0.01400   0.00654  -0.0566   0.8288   0.0355
  -3.500  -0.0910   0.01290   0.00526  -0.0547   0.7926   0.0395
  -3.000  -0.0412   0.01202   0.00422  -0.0531   0.7626   0.0519
  -2.500   0.0064   0.01068   0.00346  -0.0517   0.7376   0.2109
  -2.000   0.0534   0.00975   0.00322  -0.0503   0.7155   0.4336
  -1.500   0.0919   0.00849   0.00320  -0.0460   0.6964   0.7951
  -1.000   0.2111   0.00864   0.00326  -0.0577   0.6770   0.9834
  -0.500   0.2941   0.00871   0.00299  -0.0636   0.6596   1.0000
   0.000   0.3438   0.00885   0.00291  -0.0625   0.6440   1.0000
   0.500   0.3940   0.00903   0.00290  -0.0615   0.6294   1.0000
   1.000   0.4444   0.00924   0.00295  -0.0604   0.6152   1.0000
   1.500   0.4949   0.00946   0.00308  -0.0594   0.6014   1.0000
   2.000   0.5457   0.00971   0.00324  -0.0584   0.5882   1.0000
   2.500   0.5966   0.00998   0.00344  -0.0573   0.5755   1.0000
   3.000   0.6473   0.01025   0.00368  -0.0563   0.5622   1.0000
   3.500   0.6979   0.01052   0.00396  -0.0553   0.5481   1.0000
   4.000   0.7481   0.01078   0.00423  -0.0541   0.5329   1.0000
   4.500   0.7979   0.01104   0.00451  -0.0528   0.5169   1.0000
   5.000   0.8477   0.01129   0.00481  -0.0516   0.5001   1.0000
   5.500   0.8966   0.01152   0.00515  -0.0502   0.4807   1.0000
   6.000   0.9452   0.01176   0.00550  -0.0488   0.4591   1.0000
   6.500   0.9930   0.01203   0.00587  -0.0472   0.4335   1.0000
   7.000   1.0394   0.01236   0.00631  -0.0454   0.3991   1.0000
   7.500   1.0819   0.01295   0.00685  -0.0432   0.3407   1.0000
   8.000   1.1154   0.01439   0.00789  -0.0400   0.2419   1.0000
   8.500   1.1416   0.01658   0.00958  -0.0362   0.1491   1.0000
   9.000   1.1678   0.01869   0.01138  -0.0325   0.0899   1.0000
   9.500   1.1777   0.02178   0.01408  -0.0268   0.0327   1.0000
  10.000   1.1825   0.02456   0.01692  -0.0204   0.0223   1.0000
  10.500   1.1874   0.02770   0.02023  -0.0157   0.0196   1.0000
  11.000   1.1888   0.03176   0.02442  -0.0127   0.0180   1.0000
  11.500   1.1937   0.03608   0.02896  -0.0107   0.0168   1.0000
  12.000   1.1995   0.04068   0.03370  -0.0093   0.0159   1.0000
  12.500   1.2059   0.04532   0.03842  -0.0077   0.0149   1.0000
  13.000   1.2179   0.04968   0.04304  -0.0060   0.0144   1.0000
  13.500   1.2303   0.05439   0.04803  -0.0044   0.0141   1.0000
  14.000   1.2374   0.05998   0.05398  -0.0036   0.0140   1.0000
  14.500   1.2337   0.06691   0.06130  -0.0039   0.0136   1.0000
  15.000   1.2207   0.07540   0.07021  -0.0057   0.0135   1.0000
  15.500   1.1965   0.08600   0.08127  -0.0093   0.0136   1.0000
  16.000   1.1621   0.09946   0.09524  -0.0157   0.0140   1.0000
