  
       XFOIL         Version 6.99
  
 Calculated polar for: Selig 1223                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.050     Re =     0.263 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.2459   0.06299   0.06000  -0.1104   0.8122   0.0358
  -3.000   0.4010   0.04969   0.04551  -0.1367   0.6325   0.0434
  -2.500   0.4622   0.04338   0.03881  -0.1500   0.5841   0.0491
  -2.000   0.6058   0.03304   0.02791  -0.1846   0.5471   0.0653
  -1.500   0.9432   0.01711   0.00885  -0.2553   0.5097   0.0420
  -1.000   1.0184   0.01668   0.00819  -0.2591   0.4913   0.0471
  -0.500   1.0986   0.01644   0.00789  -0.2642   0.4755   0.0590
   0.000   1.1818   0.01649   0.00817  -0.2700   0.4627   0.2628
   0.500   1.2392   0.01709   0.00863  -0.2700   0.4522   0.3173
   1.000   1.2991   0.01762   0.00909  -0.2706   0.4428   0.3551
   1.500   1.3595   0.01801   0.00945  -0.2713   0.4346   0.3807
   2.000   1.4232   0.01858   0.00996  -0.2728   0.4272   0.4162
   2.500   1.4815   0.01898   0.01050  -0.2731   0.4200   0.4706
   3.000   1.5436   0.01950   0.01115  -0.2743   0.4139   0.5559
   3.500   1.6064   0.02012   0.01201  -0.2756   0.4079   0.7028
   4.000   1.6426   0.02020   0.01240  -0.2710   0.4025   1.0000
   4.500   1.6987   0.02090   0.01301  -0.2710   0.3971   1.0000
   5.000   1.7606   0.02192   0.01386  -0.2724   0.3916   1.0000
   5.500   1.8089   0.02258   0.01465  -0.2708   0.3866   1.0000
   6.000   1.8592   0.02330   0.01543  -0.2696   0.3809   1.0000
   6.500   1.9126   0.02411   0.01616  -0.2692   0.3754   1.0000
   7.000   1.9614   0.02505   0.01723  -0.2679   0.3697   1.0000
   7.500   2.0043   0.02577   0.01809  -0.2653   0.3631   1.0000
   8.000   2.0537   0.02658   0.01886  -0.2642   0.3570   1.0000
   8.500   2.0942   0.02757   0.02007  -0.2613   0.3508   1.0000
   9.000   2.1294   0.02835   0.02099  -0.2572   0.3437   1.0000
   9.500   2.1716   0.02932   0.02197  -0.2548   0.3365   1.0000
  10.000   2.1885   0.03029   0.02325  -0.2474   0.3289   1.0000
  10.500   2.2212   0.03122   0.02414  -0.2432   0.3201   1.0000
  11.000   2.2327   0.03262   0.02594  -0.2352   0.3123   1.0000
  11.500   2.2579   0.03392   0.02731  -0.2301   0.3043   1.0000
  12.000   2.2689   0.03584   0.02960  -0.2229   0.2952   1.0000
  12.500   2.2850   0.03777   0.03165  -0.2169   0.2863   1.0000
  13.000   2.2921   0.04035   0.03456  -0.2102   0.2754   1.0000
  13.500   2.2976   0.04345   0.03791  -0.2040   0.2631   1.0000
  14.000   2.2978   0.04739   0.04206  -0.1981   0.2488   1.0000
  14.500   2.2918   0.05252   0.04737  -0.1928   0.2331   1.0000
  15.000   2.2750   0.05951   0.05451  -0.1881   0.2162   1.0000
  16.000   2.2081   0.08081   0.07614  -0.1836   0.1829   1.0000
